time_ms,signal_V
1.374857999999999834e+02,-2.101959300842948242e-03
1.374919199999999933e+02,-2.119685831101503215e-03
1.374980399999999747e+02,-1.668510586939009332e-03
1.375041599999999846e+02,-1.912569547470099884e-03
1.375102800000000229e+02,-1.645902877470101222e-03
1.375164000000000044e+02,-2.179236217470098547e-03
1.375225200000000143e+02,-2.378388329263431133e-03
1.375286399999999958e+02,-2.017026782577202582e-03
1.375347600000000057e+02,-2.323719122104966894e-03
1.375408800000000156e+02,-1.805029319735002025e-03
1.375469999999999970e+02,-2.002383244945338259e-03
1.375531200000000069e+02,-2.393031866894407278e-03
1.375592399999999884e+02,-2.179236217470098547e-03
1.375653599999999983e+02,-1.920379434207031277e-03
1.375714800000000082e+02,-1.902652903949003660e-03
1.375775999999999897e+02,-1.959428867892631931e-03
1.375837199999999996e+02,-2.114650366789344593e-03
1.375898399999999810e+02,-2.385433783005319608e-03
1.375959599999999909e+02,-2.753070380823507968e-03
1.376020800000000008e+02,-2.059159208888466930e-03
1.376082000000000107e+02,-2.295703889151734511e-03
1.376143200000000206e+02,-2.113828416046736880e-03
1.376204400000000021e+02,-2.241034681992104538e-03
1.376265600000000120e+02,-1.901830953206090635e-03
1.376326799999999935e+02,-1.919557483465283987e-03
1.376388000000000034e+02,-2.469628154149444699e-03
1.376449200000000133e+02,-2.202961484149446036e-03
1.376510399999999947e+02,-2.080636397415208672e-03
1.376571600000000046e+02,-2.595562577783400160e-03
1.376632799999999861e+02,-2.469628154149444699e-03
1.376693999999999960e+02,-1.902961474149450494e-03
1.376755200000000059e+02,-2.469628154149444699e-03
1.376816399999999874e+02,-2.695292918934638626e-03
1.376877599999999973e+02,-2.207020713603458084e-03
1.376938799999999787e+02,-2.189294182409706746e-03
1.376999999999999886e+02,-2.704900992100356394e-03
1.377061199999999985e+02,-2.953841131842327439e-03
1.377122400000000084e+02,-2.094303699205074532e-03
1.377183600000000183e+02,-2.622897181363215147e-03
1.377244799999999998e+02,-3.027367380675521913e-03
1.377306000000000097e+02,-2.558619901549208375e-03
1.377367200000000196e+02,-2.398362937941239670e-03
1.377428400000000011e+02,-2.503950694595746818e-03
1.377489600000000110e+02,-3.002961484149441196e-03
1.377550799999999924e+02,-2.469628154149444699e-03
1.377612000000000023e+02,-2.764759939564737090e-03
1.377673200000000122e+02,-2.726686741864853269e-03
1.377734399999999937e+02,-2.009821073545747794e-03
1.377795600000000036e+02,-2.496140807438818054e-03
1.377856799999999851e+02,-2.478568562314042989e-03
1.377917999999999950e+02,-2.653469053323559423e-03
1.377979199999999764e+02,-2.928767560427786298e-03
1.378040399999999863e+02,-2.506879402109696287e-03
1.378101599999999962e+02,-3.230578720537030657e-03
1.378162800000000061e+02,-2.466031771988702603e-03
1.378224000000000160e+02,-2.183745338544207382e-03
1.378285199999999975e+02,-2.397540987968543869e-03
1.378346400000000074e+02,-2.913147787011044487e-03
1.378407600000000173e+02,-2.418041940212667384e-03
1.378468799999999987e+02,-2.717078668544203879e-03
1.378530000000000086e+02,-2.983745338544202541e-03
1.378591199999999901e+02,-2.527534630071492927e-03
1.378652400000000000e+02,-2.627110685968020443e-03
1.378713600000000099e+02,-2.463257349592379297e-03
1.378774799999999914e+02,-2.978864159333183270e-03
1.378836000000000013e+02,-2.983745338544202541e-03
1.378897199999999827e+02,-2.767020981593981688e-03
1.378958399999999926e+02,-2.440803925223555826e-03
1.379019600000000025e+02,-2.707470595223554488e-03
1.379080799999999840e+02,-2.572750049516542292e-03
1.379141999999999939e+02,-2.271915125169998717e-03
1.379203200000000038e+02,-2.894085926469391890e-03
1.379264400000000137e+02,-2.483912588216757866e-03
1.379325600000000236e+02,-2.974137265223553150e-03
1.379386800000000051e+02,-2.707470595223554488e-03
1.379448000000000150e+02,-2.727149598091727078e-03
1.379509199999999964e+02,-3.137168651069832670e-03
1.379570400000000063e+02,-3.058093547645801547e-03
1.379631599999999878e+02,-2.809153408524361906e-03
1.379692799999999977e+02,-3.093546609200192865e-03
1.379754000000000076e+02,-2.485865059684927436e-03
1.379815199999999891e+02,-2.634098621963953946e-03
1.379876399999999990e+02,-2.974137265223553150e-03
1.379937599999999804e+02,-3.002448104644200866e-03
1.379998799999999903e+02,-3.514149971021979235e-03
1.380060000000000002e+02,-2.767329552732705755e-03
1.380121199999999817e+02,-2.822666424795367002e-03
1.380182399999999916e+02,-2.859917672427103597e-03
1.380243600000000015e+02,-2.964529192938963886e-03
1.380304800000000114e+02,-2.823951231673144102e-03
1.380366000000000213e+02,-2.914741164567025145e-03
1.380427200000000028e+02,-3.335653097332635930e-03
