% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 82.60 ms, time offset -156.6 ms, Normal acquisition mode, 28 averages
% Edge trigger: Channel B, level 90.00 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 90.0 mVpp, offset 91.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:16:39 -0500
% Time (s), Channel A (V), Channel B (V)
1.0756512000e-01, 1.7396666860e-01, 1.0360000115e-01
1.0757124000e-01, 1.7370000193e-01, 1.0363333449e-01
1.0757736000e-01, 1.7423333527e-01, 1.0363333449e-01
1.0758348000e-01, 1.7423333527e-01, 1.0363333449e-01
1.0758960000e-01, 1.7423333527e-01, 1.0366666782e-01
1.0759572000e-01, 1.7423333527e-01, 1.0366666782e-01
1.0760184000e-01, 1.7423333527e-01, 1.0366666782e-01
1.0760796000e-01, 1.7343333526e-01, 1.0370000115e-01
1.0761408000e-01, 1.7396666860e-01, 1.0370000115e-01
1.0762020000e-01, 1.7370000193e-01, 1.0370000115e-01
1.0762632000e-01, 1.7396666860e-01, 1.0373333449e-01
1.0763244000e-01, 1.7450000194e-01, 1.0373333449e-01
1.0763856000e-01, 1.7423333527e-01, 1.0373333449e-01
1.0764468000e-01, 1.7423333527e-01, 1.0376666782e-01
1.0765080000e-01, 1.7423333527e-01, 1.0376666782e-01
1.0765692000e-01, 1.7396666860e-01, 1.0376666782e-01
1.0766304000e-01, 1.7450000194e-01, 1.0380000115e-01
1.0766916000e-01, 1.7450000194e-01, 1.0380000115e-01
1.0767528000e-01, 1.7450000194e-01, 1.0380000115e-01
1.0768140000e-01, 1.7450000194e-01, 1.0383333449e-01
1.0768752000e-01, 1.7450000194e-01, 1.0383333449e-01
1.0769364000e-01, 1.7450000194e-01, 1.0383333449e-01
1.0769976000e-01, 1.7450000194e-01, 1.0383333449e-01
1.0770588000e-01, 1.7423333527e-01, 1.0386666782e-01
1.0771200000e-01, 1.7450000194e-01, 1.0386666782e-01
1.0771812000e-01, 1.7423333527e-01, 1.0386666782e-01
1.0772424000e-01, 1.7450000194e-01, 1.0390000116e-01
1.0773036000e-01, 1.7476666861e-01, 1.0390000116e-01
1.0773648000e-01, 1.7450000194e-01, 1.0390000116e-01
1.0774260000e-01, 1.7476666861e-01, 1.0393333449e-01
1.0774872000e-01, 1.7450000194e-01, 1.0393333449e-01
1.0775484000e-01, 1.7423333527e-01, 1.0393333449e-01
1.0776096000e-01, 1.7423333527e-01, 1.0396666782e-01
1.0776708000e-01, 1.7450000194e-01, 1.0396666782e-01
1.0777320000e-01, 1.7423333527e-01, 1.0396666782e-01
1.0777932000e-01, 1.7423333527e-01, 1.0400000116e-01
1.0778544000e-01, 1.7450000194e-01, 1.0400000116e-01
1.0779156000e-01, 1.7423333527e-01, 1.0400000116e-01
1.0779768000e-01, 1.7450000194e-01, 1.0403333449e-01
1.0780380000e-01, 1.7423333527e-01, 1.0403333449e-01
1.0780992000e-01, 1.7450000194e-01, 1.0403333449e-01
1.0781604000e-01, 1.7450000194e-01, 1.0406666782e-01
1.0782216000e-01, 1.7450000194e-01, 1.0406666782e-01
1.0782828000e-01, 1.7450000194e-01, 1.0406666782e-01
1.0783440000e-01, 1.7423333527e-01, 1.0410000116e-01
1.0784052000e-01, 1.7450000194e-01, 1.0410000116e-01
1.0784664000e-01, 1.7450000194e-01, 1.0410000116e-01
1.0785276000e-01, 1.7423333527e-01, 1.0413333449e-01
1.0785888000e-01, 1.7423333527e-01, 1.0413333449e-01
1.0786500000e-01, 1.7450000194e-01, 1.0413333449e-01
1.0787112000e-01, 1.7423333527e-01, 1.0416666782e-01
1.0787724000e-01, 1.7450000194e-01, 1.0416666782e-01
1.0788336000e-01, 1.7450000194e-01, 1.0416666782e-01
1.0788948000e-01, 1.7423333527e-01, 1.0420000116e-01
1.0789560000e-01, 1.7450000194e-01, 1.0420000116e-01
1.0790172000e-01, 1.7450000194e-01, 1.0420000116e-01
