% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 1 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 186.2 ms, time offset -178.9 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 1.200 0 Vpp, offset 21.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 15:36:45 -0500
% Time (s), Channel A (V), Channel B (V)
7.4737872000e-02, 1.3879999851e+00, -5.5180000613e-01
7.4750888000e-02, 1.3853333185e+00, -5.5213333947e-01
7.4763904000e-02, 1.3853333185e+00, -5.5243333948e-01
7.4776920000e-02, 1.3853333185e+00, -5.5273333948e-01
7.4789936000e-02, 1.3853333185e+00, -5.5306667282e-01
7.4802952000e-02, 1.3853333185e+00, -5.5336667282e-01
7.4815968000e-02, 1.3826666519e+00, -5.5370000616e-01
7.4828984000e-02, 1.3826666519e+00, -5.5400000616e-01
7.4842000000e-02, 1.3853333185e+00, -5.5433333950e-01
7.4855016000e-02, 1.3799999852e+00, -5.5463333950e-01
7.4868032000e-02, 1.3853333185e+00, -5.5493333950e-01
7.4881048000e-02, 1.3826666519e+00, -5.5526667284e-01
7.4894064000e-02, 1.3826666519e+00, -5.5556667284e-01
7.4907080000e-02, 1.3853333185e+00, -5.5586667285e-01
7.4920096000e-02, 1.3799999852e+00, -5.5620000618e-01
7.4933112000e-02, 1.3853333185e+00, -5.5650000619e-01
7.4946128000e-02, 1.3826666519e+00, -5.5680000619e-01
7.4959144000e-02, 1.3799999852e+00, -5.5713333953e-01
7.4972160000e-02, 1.3799999852e+00, -5.5743333953e-01
7.4985176000e-02, 1.3826666519e+00, -5.5773333953e-01
7.4998192000e-02, 1.3773333186e+00, -5.5806667287e-01
7.5011208000e-02, 1.3826666519e+00, -5.5836667287e-01
7.5024224000e-02, 1.3799999852e+00, -5.5866667288e-01
7.5037240000e-02, 1.3799999852e+00, -5.5900000621e-01
7.5050256000e-02, 1.3799999852e+00, -5.5930000622e-01
7.5063272000e-02, 1.3799999852e+00, -5.5963333956e-01
7.5076288000e-02, 1.3799999852e+00, -5.5993333956e-01
7.5089304000e-02, 1.3773333186e+00, -5.6023333956e-01
7.5102320000e-02, 1.3773333186e+00, -5.6056667290e-01
7.5115336000e-02, 1.3773333186e+00, -5.6086667290e-01
7.5128352000e-02, 1.3799999852e+00, -5.6120000624e-01
7.5141368000e-02, 1.3799999852e+00, -5.6150000624e-01
7.5154384000e-02, 1.3799999852e+00, -5.6180000625e-01
7.5167400000e-02, 1.3773333186e+00, -5.6213333958e-01
7.5180416000e-02, 1.3773333186e+00, -5.6243333959e-01
7.5193432000e-02, 1.3773333186e+00, -5.6273333959e-01
7.5206448000e-02, 1.3799999852e+00, -5.6306667293e-01
7.5219464000e-02, 1.3773333186e+00, -5.6336667293e-01
7.5232480000e-02, 1.3773333186e+00, -5.6366667293e-01
7.5245496000e-02, 1.3773333186e+00, -5.6400000627e-01
7.5258512000e-02, 1.3799999852e+00, -5.6430000627e-01
7.5271528000e-02, 1.3746666519e+00, -5.6463333961e-01
7.5284544000e-02, 1.3746666519e+00, -5.6493333961e-01
7.5297560000e-02, 1.3773333186e+00, -5.6523333962e-01
7.5310576000e-02, 1.3746666519e+00, -5.6556667295e-01
7.5323592000e-02, 1.3746666519e+00, -5.6586667296e-01
7.5336608000e-02, 1.3746666519e+00, -5.6616667296e-01
7.5349624000e-02, 1.3746666519e+00, -5.6650000630e-01
7.5362640000e-02, 1.3773333186e+00, -5.6680000630e-01
7.5375656000e-02, 1.3719999853e+00, -5.6710000630e-01
7.5388672000e-02, 1.3719999853e+00, -5.6743333964e-01
7.5401688000e-02, 1.3773333186e+00, -5.6773333965e-01
7.5414704000e-02, 1.3746666519e+00, -5.6806667298e-01
