% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 257.6 ms, time offset -123.3 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level -2.263 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 53.0 mVpp, offset -149.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:30:10 -0500
% Time (s), Channel A (V), Channel B (V)
-2.0240992000e-02, 7.4200000825e-02, -1.4886666832e-01
-2.0222984000e-02, 7.4200000825e-02, -1.4886666832e-01
-2.0204976000e-02, 7.4466667495e-02, -1.4883333499e-01
-2.0186968000e-02, 7.4733334164e-02, -1.4883333499e-01
-2.0168960000e-02, 7.4200000825e-02, -1.4880000165e-01
-2.0150952000e-02, 7.4733334164e-02, -1.4880000165e-01
-2.0132944000e-02, 7.4200000825e-02, -1.4876666832e-01
-2.0114936000e-02, 7.4466667495e-02, -1.4873333499e-01
-2.0096928000e-02, 7.4466667495e-02, -1.4873333499e-01
-2.0078920000e-02, 7.4466667495e-02, -1.4870000165e-01
-2.0060912000e-02, 7.4466667495e-02, -1.4870000165e-01
-2.0042904000e-02, 7.4733334164e-02, -1.4866666832e-01
-2.0024896000e-02, 7.5000000834e-02, -1.4866666832e-01
-2.0006888000e-02, 7.4200000825e-02, -1.4863333499e-01
-1.9988880000e-02, 7.4466667495e-02, -1.4860000165e-01
-1.9970872000e-02, 7.4200000825e-02, -1.4860000165e-01
-1.9952864000e-02, 7.4200000825e-02, -1.4856666832e-01
-1.9934856000e-02, 7.4466667495e-02, -1.4856666832e-01
-1.9916848000e-02, 7.5000000834e-02, -1.4853333498e-01
-1.9898840000e-02, 7.4466667495e-02, -1.4853333498e-01
-1.9880832000e-02, 7.4733334164e-02, -1.4850000165e-01
-1.9862824000e-02, 7.4466667495e-02, -1.4846666832e-01
-1.9844816000e-02, 7.4466667495e-02, -1.4846666832e-01
-1.9826808000e-02, 7.4466667495e-02, -1.4843333498e-01
-1.9808800000e-02, 7.4733334164e-02, -1.4843333498e-01
-1.9790792000e-02, 7.4733334164e-02, -1.4840000165e-01
-1.9772784000e-02, 7.4733334164e-02, -1.4840000165e-01
-1.9754776000e-02, 7.4466667495e-02, -1.4836666832e-01
-1.9736768000e-02, 7.4466667495e-02, -1.4833333498e-01
-1.9718760000e-02, 7.4733334164e-02, -1.4833333498e-01
-1.9700752000e-02, 7.4466667495e-02, -1.4830000165e-01
-1.9682744000e-02, 7.5000000834e-02, -1.4830000165e-01
-1.9664736000e-02, 7.5000000834e-02, -1.4826666832e-01
-1.9646728000e-02, 7.4733334164e-02, -1.4826666832e-01
-1.9628720000e-02, 7.4200000825e-02, -1.4823333498e-01
-1.9610712000e-02, 7.4733334164e-02, -1.4820000165e-01
-1.9592704000e-02, 7.4733334164e-02, -1.4820000165e-01
-1.9574696000e-02, 7.4733334164e-02, -1.4816666831e-01
-1.9556688000e-02, 7.4733334164e-02, -1.4816666831e-01
-1.9538680000e-02, 7.5000000834e-02, -1.4813333498e-01
-1.9520672000e-02, 7.4466667495e-02, -1.4813333498e-01
-1.9502664000e-02, 7.5000000834e-02, -1.4810000165e-01
-1.9484656000e-02, 7.4466667495e-02, -1.4806666831e-01
-1.9466648000e-02, 7.4466667495e-02, -1.4806666831e-01
-1.9448640000e-02, 7.4733334164e-02, -1.4803333498e-01
-1.9430632000e-02, 7.4733334164e-02, -1.4803333498e-01
-1.9412624000e-02, 7.4733334164e-02, -1.4800000165e-01
-1.9394616000e-02, 7.4466667495e-02, -1.4796666831e-01
-1.9376608000e-02, 7.5000000834e-02, -1.4796666831e-01
-1.9358600000e-02, 7.5000000834e-02, -1.4793333498e-01
-1.9340592000e-02, 7.5000000834e-02, -1.4793333498e-01
-1.9322584000e-02, 7.4466667495e-02, -1.4790000164e-01
-1.9304576000e-02, 7.4733334164e-02, -1.4790000164e-01
-1.9286568000e-02, 7.4733334164e-02, -1.4786666831e-01
-1.9268560000e-02, 7.5000000834e-02, -1.4783333498e-01
-1.9250552000e-02, 7.4733334164e-02, -1.4783333498e-01
-1.9232544000e-02, 7.4733334164e-02, -1.4780000164e-01
-1.9214536000e-02, 7.4733334164e-02, -1.4780000164e-01
-1.9196528000e-02, 7.4733334164e-02, -1.4776666831e-01
-1.9178520000e-02, 7.4733334164e-02, -1.4776666831e-01
-1.9160512000e-02, 7.4733334164e-02, -1.4773333498e-01
-1.9142504000e-02, 7.5000000834e-02, -1.4770000164e-01
-1.9124496000e-02, 7.5000000834e-02, -1.4770000164e-01
-1.9106488000e-02, 7.4733334164e-02, -1.4766666831e-01
-1.9088480000e-02, 7.5000000834e-02, -1.4766666831e-01
-1.9070472000e-02, 7.5000000834e-02, -1.4763333497e-01
-1.9052464000e-02, 7.5000000834e-02, -1.4763333497e-01
-1.9034456000e-02, 7.4733334164e-02, -1.4760000164e-01
