sample_index,intensity_counts,fitted_counts,residual_counts
545,0,-0.1783165606,0.1783165606
546,0,-0.1783165606,0.1783165606
547,0,-0.1783165606,0.1783165606
548,0,-0.1783165606,0.1783165606
549,0,-0.1783165606,0.1783165606
550,0,-0.1783165606,0.1783165606
551,0,-0.1783165606,0.1783165606
552,0,-0.1783165606,0.1783165606
553,0,-0.1783165606,0.1783165606
554,0,-0.1783165606,0.1783165606
555,0,-0.1783165606,0.1783165606
556,0,-0.1783165606,0.1783165606
557,0,-0.1783165606,0.1783165606
558,0,-0.1783165606,0.1783165606
559,0,-0.1783165606,0.1783165606
560,0,-0.1783165606,0.1783165606
561,0,-0.1783165606,0.1783165606
562,0,-0.1783165606,0.1783165606
563,0,-0.1783165606,0.1783165606
564,0,-0.1783165606,0.1783165606
565,0,-0.1783165606,0.1783165606
566,0,-0.1783165606,0.1783165606
567,0,-0.1783165606,0.1783165606
568,0,-0.1783165606,0.1783165606
569,0,-0.1783165606,0.1783165606
570,0,-0.1783165606,0.1783165606
571,0,-0.1783165606,0.1783165606
572,0,-0.1783165606,0.1783165606
573,0,-0.1783165606,0.1783165606
574,0,-0.1783165606,0.1783165606
575,0,-0.1783165606,0.1783165606
576,0,-0.1783165606,0.1783165606
577,0,-0.1783165606,0.1783165606
578,0,-0.1783165606,0.1783165606
579,0,-0.1783165606,0.1783165606
580,0,-0.1783165606,0.1783165606
581,0,-0.1783165606,0.1783165606
582,0,-0.1783165606,0.1783165606
583,0,-0.1783165606,0.1783165606
584,0,-0.1783165606,0.1783165606
585,0,-0.1783165606,0.1783165606
586,0,-0.1783165606,0.1783165606
587,0,-0.1783165606,0.1783165606
588,0,-0.1783165606,0.1783165606
589,0,-0.1783165606,0.1783165606
590,0,-0.1783165606,0.1783165606
591,0,-0.1783165606,0.1783165606
592,0,-0.1783165606,0.1783165606
593,0,-0.1783165606,0.1783165606
594,0,-0.1783165606,0.1783165606
595,0,-0.1783165606,0.1783165606
596,0,-0.1783165606,0.1783165606
597,0,-0.1783165606,0.1783165606
598,0,-0.1783165606,0.1783165606
599,0,-0.1783165606,0.1783165606
600,0,-0.1783165606,0.1783165606
601,0,-0.1783165606,0.1783165606
602,0,-0.1783165606,0.1783165606
603,0,-0.1783165606,0.1783165606
604,0,-0.1783165606,0.1783165606
605,0,-0.1783165606,0.1783165606
606,0,-0.1783165606,0.1783165606
607,0,-0.1783165606,0.1783165606
608,0,-0.1783165606,0.1783165606
609,0,-0.1783165606,0.1783165606
610,0,-0.1783165606,0.1783165606
611,0,-0.1783165606,0.1783165606
612,0,-0.1783165606,0.1783165606
613,0,-0.1783165606,0.1783165606
614,0,-0.1783165606,0.1783165606
615,0,-0.1783165606,0.1783165606
616,0,-0.1783165606,0.1783165606
617,0,-0.1783165606,0.1783165606
618,0,-0.1783165606,0.1783165606
619,0,-0.1783165606,0.1783165606
620,0,-0.1783165606,0.1783165606
621,0,-0.1783165606,0.1783165606
622,0,-0.1783165606,0.1783165606
623,0,-0.1783165606,0.1783165606
624,0,-0.1783165606,0.1783165606
625,0,-0.1783165606,0.1783165606
626,0,-0.1783165606,0.1783165606
627,0,-0.1783165606,0.1783165606
628,0,-0.1783165606,0.1783165606
629,0,-0.1783165606,0.1783165606
630,0,-0.1783165606,0.1783165606
631,0,-0.1783165606,0.1783165606
632,0,-0.1783165606,0.1783165606
633,0,-0.1783165606,0.1783165606
634,0,-0.1783165606,0.1783165606
635,0,-0.1783165606,0.1783165606
636,0,-0.1783165606,0.1783165606
637,0,-0.1783165606,0.1783165606
638,0,-0.1783165606,0.1783165606
639,0,-0.1783165606,0.1783165606
640,0,-0.1783165606,0.1783165606
641,0,-0.1783165606,0.1783165606
642,0,-0.1783165606,0.1783165606
643,0,-0.1783165606,0.1783165606
644,0,-0.1783165606,0.1783165606
645,0,-0.1783165606,0.1783165606
646,0,-0.1783165606,0.1783165606
647,0,-0.1783165606,0.1783165606
648,0,-0.1783165606,0.1783165606
649,0,-0.1783165606,0.1783165606
650,0,-0.1783165606,0.1783165606
651,0,-0.1783165606,0.1783165606
652,0,-0.1783165606,0.1783165606
653,0,-0.1783165606,0.1783165606
654,0,-0.1783165606,0.1783165606
655,0,-0.1783165606,0.1783165606
656,0,-0.1783165606,0.1783165606
657,0,-0.1783165606,0.1783165606
658,0,-0.1783165606,0.1783165606
659,0,-0.1783165606,0.1783165606
660,0,-0.1783165606,0.1783165606
661,0,-0.1783165606,0.1783165606
662,0,-0.1783165606,0.1783165606
663,0,-0.1783165606,0.1783165606
664,0,-0.1783165606,0.1783165606
665,0,-0.1783165606,0.1783165606
666,0,-0.1783165606,0.1783165606
667,0,-0.1783165606,0.1783165606
668,0,-0.1783165606,0.1783165606
669,0,-0.1783165606,0.1783165606
670,0,-0.1783165606,0.1783165606
671,0,-0.1783165606,0.1783165606
672,0,-0.1783165606,0.1783165606
673,0,-0.1783165606,0.1783165606
674,0,-0.1783165606,0.1783165606
675,0,-0.1783165606,0.1783165606
676,0,-0.1783165606,0.1783165606
677,0,-0.1783165606,0.1783165606
678,0,-0.1783165606,0.1783165606
679,0,-0.1783165606,0.1783165606
680,0,-0.1783165606,0.1783165606
681,0,-0.1783165606,0.1783165606
682,0,-0.1783165606,0.1783165606
683,0,-0.1783165606,0.1783165606
684,0,-0.1783165606,0.1783165606
685,0,-0.1783165606,0.1783165606
686,0,-0.1783165606,0.1783165606
687,0,-0.1783165606,0.1783165606
688,0,-0.1783165606,0.1783165606
689,0,-0.1783165606,0.1783165606
690,0,-0.1783165606,0.1783165606
691,0,-0.1783165606,0.1783165606
692,0,-0.1783165606,0.1783165606
693,0,-0.1783165606,0.1783165606
694,0,-0.1783165606,0.1783165606
695,0,-0.1783165606,0.1783165606
696,0,-0.1783165606,0.1783165606
697,0,-0.1783165606,0.1783165606
698,0,-0.1783165606,0.1783165606
699,0,-0.1783165606,0.1783165606
700,0,-0.1783165606,0.1783165606
701,0,-0.1783165606,0.1783165606
702,0,-0.1783165606,0.1783165606
703,0,-0.1783165606,0.1783165606
704,0,-0.1783165606,0.1783165606
705,0,-0.1783165605,0.1783165605
706,0,-0.1783165605,0.1783165605
