sample_index,intensity_counts,fitted_counts,residual_counts
283,24,61.65160087,-37.65160087
284,24,62.01249377,-38.01249377
285,24,62.37340182,-38.37340182
286,30,62.73432381,-32.73432381
287,31,63.09525853,-32.09525853
288,35,63.4562048,-28.4562048
289,38,63.81716139,-25.81716139
290,40,64.1781271,-24.1781271
291,40,64.53910072,-24.53910072
292,38,64.90008104,-26.90008104
293,40,65.26106684,-25.26106684
294,40,65.62205691,-25.62205691
295,40,65.98305003,-25.98305003
296,43,66.34404499,-23.34404499
297,45,66.70504056,-21.70504056
298,48,67.06603552,-19.06603552
299,45,67.42702865,-22.42702865
300,45,67.78801873,-22.78801873
301,43,68.14900452,-25.14900452
302,40,68.50998481,-28.50998481
303,40,68.87095836,-28.87095836
304,40,69.23192394,-29.23192394
305,40,69.59288032,-29.59288032
306,43,69.95382626,-26.95382626
307,43,70.31476053,-27.31476053
308,51,70.67568189,-19.67568189
309,56,71.03658911,-15.03658911
310,66,71.39748094,-5.397480942
311,71,71.75835615,-0.758356145
312,75,72.11921348,2.880786523
313,75,72.48005169,2.519948307
314,79,72.84086955,6.159130452
315,80,73.20166579,6.798334207
316,83,73.56243918,9.43756082
317,83,73.92318846,9.076811541
318,85,74.28391238,10.71608762
319,83,74.64460968,8.355390319
320,80,75.00527912,4.994720884
321,83,75.36591943,7.634080574
322,85,75.72652935,9.273470647
323,85,76.08710764,8.912892362
324,85,76.44765302,8.552346979
325,89,76.80816424,12.19183576
326,87,77.16864003,9.831359972
327,85,77.52907913,7.470920875
328,75,77.88948026,-2.889480263
329,71,78.24984217,-7.249842175
330,63,78.61016359,-15.61016359
331,62,78.97044324,-16.97044324
332,55,79.33067985,-24.33067985
333,50,79.69087215,-29.69087215
334,48,80.05101887,-32.05101887
335,48,80.41111873,-32.41111873
336,43,80.77117044,-37.77117044
337,40,81.13117274,-41.13117274
338,40,81.49112435,-41.49112435
339,40,81.85102397,-41.85102397
340,40,82.21087034,-42.21087034
341,40,82.57066216,-42.57066216
342,40,82.93039816,-42.93039816
343,38,83.29007704,-45.29007704
344,38,83.64969751,-45.64969751
345,38,84.0092583,-46.0092583
346,38,84.3687581,-46.3687581
347,35,84.72819563,-49.72819563
348,38,85.08756959,-47.08756959
349,38,85.4468787,-47.4468787
350,38,85.80612165,-47.80612165
351,43,86.16529715,-43.16529715
352,48,86.5244039,-38.5244039
353,50,86.8834406,-36.8834406
354,51,87.24240595,-36.24240595
355,51,87.60129866,-36.60129866
356,58,87.96011741,-29.96011741
357,62,88.31886091,-26.31886091
358,63,88.67752784,-25.67752784
359,63,89.03611691,-26.03611691
360,71,89.39462681,-18.39462681
361,73,89.75305623,-16.75305623
362,80,90.11140385,-10.11140385
363,83,90.46966838,-7.469668377
364,89,90.82784849,-1.827848487
365,90,91.18594287,-1.18594287
366,96,91.54395021,4.456049787
367,100,91.9018692,8.0981308
368,103,92.25969851,10.74030149
369,111,92.61743684,18.38256316
370,119,92.97508286,26.02491714
371,123,93.33263525,29.66736475
372,126,93.69009269,32.30990731
373,127,94.04745386,32.95254614
374,126,94.40471744,31.59528256
375,125,94.76188211,30.23811789
376,123,95.11894653,27.88105347
377,123,95.47590939,27.52409061
378,119,95.83276935,23.16723065
379,114,96.18952509,17.81047491
380,111,96.54617528,14.45382472
381,109,96.90271859,12.09728141
382,105,97.25915369,7.740846314
383,101,97.61547924,3.384520761
384,98,97.97169392,0.02830608401
385,98,98.32779638,-0.3277963822
386,98,98.6837853,-0.6837853029
387,98,99.03965934,-1.039659342
388,96,99.39541716,-3.395417164
389,96,99.75105743,-3.751057429
390,98,100.1065788,-2.1065788
391,98,100.4619799,-2.461979936
392,101,100.8172595,0.1827405018
393,105,101.1724161,3.827583856
394,111,101.5274485,9.472551469
395,111,101.8823553,9.117644684
396,113,102.2371352,10.76286484
397,114,102.5917867,11.4082133
398,114,102.9463086,11.05369138
399,113,103.3006995,9.699300456
400,112,103.6549581,8.345041859
401,113,104.0090831,8.990916942
402,112,104.3630729,7.636927054
403,112,104.7169265,7.283073545
404,112,105.0706422,6.929357766
405,111,105.4242189,5.575781069
406,109,105.7776552,3.222344807
407,107,106.1309497,0.869050332
408,109,106.484101,2.515898999
409,107,106.8371078,0.1628921633
410,109,107.1899688,1.81003118
411,109,107.5426826,1.457317406
412,111,107.8952478,3.104752198
413,112,108.2476631,3.752336915
414,113,108.5999271,4.400072915
415,114,108.9520384,5.047961557
416,112,109.3039958,2.696004203
417,112,109.6557978,2.344202211
418,111,110.0074431,0.9925569457
419,112,110.3589302,1.641069768
420,113,110.710258,2.28974204
421,117,111.0614249,5.938575127
422,119,111.4124296,7.587570392
423,120,111.7632708,8.236729202
424,119,112.1139471,6.88605292
425,120,112.4644571,7.535542914
426,125,112.8147994,12.18520055
427,123,113.1649728,9.835027198
428,125,113.5149758,11.48502422
429,125,113.864807,11.135193
430,125,114.2144651,10.78553489
431,123,114.5639487,8.436051263
