sample_index,intensity_counts,fitted_counts,residual_counts
1799,0,-2.406202678,2.406202678
1800,0,-2.406202681,2.406202681
1801,0,-2.406202684,2.406202684
1802,0,-2.406202686,2.406202686
1803,0,-2.406202689,2.406202689
1804,0,-2.406202692,2.406202692
1805,0,-2.406202694,2.406202694
1806,0,-2.406202697,2.406202697
1807,0,-2.406202699,2.406202699
1808,0,-2.406202701,2.406202701
1809,0,-2.406202703,2.406202703
1810,0,-2.406202705,2.406202705
1811,0,-2.406202707,2.406202707
1812,0,-2.406202709,2.406202709
1813,0,-2.406202711,2.406202711
1814,0,-2.406202713,2.406202713
1815,0,-2.406202715,2.406202715
1816,0,-2.406202716,2.406202716
1817,0,-2.406202718,2.406202718
1818,0,-2.406202719,2.406202719
1819,0,-2.406202721,2.406202721
1820,0,-2.406202722,2.406202722
1821,0,-2.406202723,2.406202723
1822,0,-2.406202724,2.406202724
1823,0,-2.406202726,2.406202726
1824,0,-2.406202727,2.406202727
1825,0,-2.406202728,2.406202728
1826,0,-2.406202729,2.406202729
1827,0,-2.40620273,2.40620273
1828,0,-2.406202731,2.406202731
1829,0,-2.406202732,2.406202732
1830,0,-2.406202733,2.406202733
1831,0,-2.406202734,2.406202734
1832,0,-2.406202734,2.406202734
1833,0,-2.406202735,2.406202735
1834,0,-2.406202736,2.406202736
1835,0,-2.406202737,2.406202737
1836,0,-2.406202737,2.406202737
1837,0,-2.406202738,2.406202738
1838,0,-2.406202739,2.406202739
1839,0,-2.406202739,2.406202739
1840,0,-2.40620274,2.40620274
1841,0,-2.40620274,2.40620274
1842,0,-2.406202741,2.406202741
1843,0,-2.406202741,2.406202741
1844,0,-2.406202742,2.406202742
1845,0,-2.406202742,2.406202742
1846,0,-2.406202743,2.406202743
1847,0,-2.406202743,2.406202743
1848,0,-2.406202744,2.406202744
1849,0,-2.406202744,2.406202744
1850,0,-2.406202744,2.406202744
1851,0,-2.406202745,2.406202745
1852,0,-2.406202745,2.406202745
1853,0,-2.406202745,2.406202745
1854,0,-2.406202746,2.406202746
1855,0,-2.406202746,2.406202746
1856,0,-2.406202746,2.406202746
1857,0,-2.406202747,2.406202747
1858,0,-2.406202747,2.406202747
1859,0,-2.406202747,2.406202747
